,Name,Price,Rating
0,Indoor Bedroom Toilet Odor Removal Aromatherapy Fragrance Rotating Perfume Small Gift,KSh 329,(121)
1,"Hommy Makeup Organizer with Mirror for Vanity, Multifunctional Cosmetics Organizers and Storage for Skincare, Brushes, Eyeshadow, Lotions, Lipstick, Nail.","KSh 1,450",(2)
2,New Arrival Foldable Storage Box Portable Clothes Organizer Tidy Pouch Suitcase Non-woven Home Storage Box Quilt Storage Container Bag Box,KSh 399,(609)
3,Throw Pillow Printed AWESOME,KSh 499,(0)
4,Mini LED Lighting Keychain FlashLight Portable Pocket USB Rechargeable Indoor Tabletop Lighting Outdoor Lighting For Camping Fishing Climbing,KSh 499,(89)
5,Full Set 16 Size Crochet Hooks Needles Stitches Knitting Craft Case Crochet Set  Arts Craft Scissors Markers Sewing Tools,KSh 639,(649)
6,Home Decor Luminous Snowflake Wall Stickers Glow In The Dark Decal for Kids Baby Rooms Bedroom Home Decoration,KSh 199,(1111)
7,12 Pack Aromatherapy Diffuser/Humidifier Essential Oil,KSh 484,(2)
8,Portable Sewing Machine Mini Household Items Handheld Stitching Sew Handy StiTch Needles Work,KSh 799,(1990)
9,"Mexico 55"" Tv Stand 

♦️wooden Tv stands with cabinets
♦️Size 120x30x50cm
♦️Colours :White","KSh 7,499",(1)
10,4pcs Super Absorbent Microfiber Kitchen Dish Cloth High-efficiency Tableware Household Cleaning Towel Kitchen Tools Gadgets,KSh 209,(651)
11,Portable manual sewing machine set household mini sewing machine,KSh 399,(461)
12,Households Sewing Machine 12-pin Foot Pedal Double Thread Ironing Pressing,"KSh 4,999",(218)
13,"Sundabests Power King Heavy Duty 4-way Power/Socket Extension Cable Charging Outlet  extension cable  (190001070,190000918)",KSh 329,(6192)
14,Soap Dishes Box Wall Zeep Houder Shower Soap Tray Holder for Bathroom Double layer Storage Basket,KSh 360,(1252)
15,50Sets 9.5MM Five Jaw Buckle Pliers Set Tool DIY Craft Sewing Hollow Solid Metal Snap Buttons Clothes Installation Accessories,KSh 399,(22)
16,Weighing Scale Body Scale Weight Scale Bathroom Scale Electronic Digital Scale,KSh 819,(336)
17,"Coral Velvet Towel Pinstripe Towel Bath Towel Hand Towel Towel Microfiber Bath Towels 2 Colors for Shower Pool Beach Bathroom Super Absorbent,Soft,Quick dry,Lightweight,Plush,Perfect Bathroom Towels",KSh 888,(7)
18,Knife Sharpeners 3 Stages Professional Kitchen Sharpening Stone Grinder knives Kitchen Knife Accessories,KSh 299,(1761)
19,5-layer Raised Assembly Stainless Steel Kitchen Shelving Floor-to-ceiling Pot Holder Bathroom Wash Basin Storage and Organizing Rack,"KSh 1,999",(33)
20,Nice One 7pcs High Quality Glass   Kettle Cups Set( J-12-CUP6 JUG SET),"KSh 1,299",(3)
21,36Pcs Blind Needle Elderly Needle-side Hole Hand Household Sewing Stainless Steel Sewing Needless Threading Diy Jewelry,KSh 299,(23)
22,Hotsell Sofa Slipcover Sofa set Sofa Covers Stretch Fabric Pattern Elastic Chair,"KSh 1,179",(1178)
23,New Solar Light PIR Motion Sensor Garden Outdoor LED Lighting Waterproof Smart Remote Control Lamp Solar Power Street Lamp,KSh 859,(494)
24,Feeding & Watering Supplies Dog Bowl Cat Double Bowl Wheat Straw Bite And Dirt Resistant Pet Double Bowl Stainless Steel Feeder Drink Water,KSh 479,(29)
25,900ML Rotate Vegetable Cutter Chopper Slicer Fruit Garlic Press Masher Cheese Crusher Cooking Accessories Kitchen Accessories,KSh 779,(252)
26,SXCHEN 10 pc Oil Painting Gouache Paint Brushes Different Shape Round Pointed Tip Hair Brush Set Art Supplies Water Chalk Acrylic Oil Brush Brush Row Pen Art Painting Pen Color Student School,KSh 359,(5)
27,Portable Barware 8oz Stainless Steel Hip Flask Flagon With Funnel 236ML Flask for Liquor for Men Gift,KSh 499,(143)
28,Kitchen Vegetables Blender garlic cutter chopper machine Mini Manual food meat vegetable garlic crusher grinder,KSh 659,(288)
29,"2pcs Magnetic Curtain Tiebacks, Decorative Curtain",KSh 299,(207)
30,Nano Grip Tape 5m x 3cm Reusable Removable Washable Double Sided Sticky Strips Seamless Traceless Tape Adhesive Kitchen Holder  gecko tape,KSh 359,(895)
31,Automatic Toothpaste Dispenser Wall Mount Bathroom Accessories Toothpaste Squeezer Toothbrush Holder Toothpaste Storage,KSh 399,(245)
32,SXCHEN 2 Piece Set Vest + Leash Pet Evening Dress Pet Leash + Vest Pet Supplies Small Animals Dog Leashes Vest Harness Bow Tie HarnessPet Supplies Cats and Dogs Out Vest Style Dog Walking Artifact,KSh 399,(17)
33,Paper Roll Holder Self Adhesive Wall Mount Toilet Roll Holder Stainless Steel Toilet Paper Hanger for Kitchen and Bathroom,KSh 599,(135)
34,USB Led Lighting Home Decor Galaxy Lights Car Roof Star Led Light Interior Starry Laser Atmosphere Ambient Projector Auto Decoration Night,KSh 399,(343)
35,PAFEL Bathroom Shelf Shower Shelves Shampoo Storage Rack Kitchen Storage Holder Punch-Free Wall Mounted Organizer Bathroom Accessories,KSh 760,(284)
